,close,SMA_10,SMA_30,temp,Differenza,scomp_sigLine,scomp_position,Status,Ritardi,Frequenze
76,-99,-99.4,-30.733333333333334,-68.66666666666667,1.1666666666666572,0,0.0,1,18,19
77,-109,-102.6,-36.166666666666664,-66.43333333333334,2.2333333333333343,0,0.0,1,9,19
78,-121,-106.6,-42.13333333333333,-64.46666666666667,1.9666666666666686,0,0.0,1,6,18
79,-117,-109.0,-47.4,-61.6,2.866666666666667,0,0.0,1,22,18
80,-23,-100.3,-49.63333333333333,-50.666666666666664,10.933333333333337,0,0.0,1,114,20
81,-22,-90.4,-52.333333333333336,-38.06666666666667,12.599999999999994,0,0.0,1,21,20
82,-25,-79.3,-54.96666666666667,-24.33333333333333,13.733333333333341,0,0.0,1,17,20
83,-23,-72.3,-56.9,-15.399999999999999,8.93333333333333,0,0.0,1,22,20
84,-33,-67.0,-59.1,-7.899999999999999,7.5,0,0.0,1,9,19
85,-30,-60.2,-60.93333333333333,0.7333333333333272,8.633333333333326,1,1.0,0,22,19
86,-35,-53.8,-62.53333333333333,8.733333333333334,8.000000000000007,1,0.0,0,14,19
87,-49,-47.8,-64.8,17.0,8.266666666666666,1,0.0,0,5,19
88,-53,-41.0,-66.76666666666667,25.766666666666666,8.766666666666666,1,0.0,0,15,19
89,-65,-35.8,-68.56666666666666,32.766666666666666,7.0,1,0.0,0,7,19
90,-83,-41.8,-70.7,28.900000000000006,-3.86666666666666,1,0.0,0,1,19
91,-53,-44.9,-71.2,26.300000000000004,-2.6000000000000014,1,0.0,0,49,19
92,-63,-48.7,-71.96666666666667,23.266666666666666,-3.0333333333333385,1,0.0,0,9,19
93,-63,-52.7,-72.16666666666667,19.46666666666667,-3.799999999999997,1,0.0,0,19,19
94,-78,-57.2,-72.46666666666667,15.266666666666666,-4.200000000000003,1,0.0,0,4,19
95,-74,-61.6,-72.7,11.100000000000001,-4.166666666666664,1,0.0,0,23,19
96,-81,-66.2,-73.13333333333334,6.933333333333337,-4.166666666666664,1,0.0,0,12,19
97,-84,-69.7,-73.36666666666666,3.666666666666657,-3.26666666666668,1,0.0,0,16,19
98,-87,-73.1,-73.56666666666666,0.46666666666666856,-3.1999999999999886,1,0.0,0,16,19
99,-77,-74.3,-73.03333333333333,-1.2666666666666657,-1.7333333333333343,0,-1.0,1,29,19
100,-77,-73.7,-71.93333333333334,-1.7666666666666657,-0.5,0,0.0,1,19,19
101,-71,-75.5,-70.26666666666667,-5.233333333333334,-3.4666666666666686,0,0.0,1,25,19
102,-80,-77.2,-68.4,-8.799999999999997,-3.566666666666663,0,0.0,1,10,19
103,-96,-80.5,-68.5,-12.0,-3.200000000000003,0,0.0,1,3,19
104,-95,-82.2,-68.8,-13.400000000000006,-1.4000000000000057,0,0.0,1,20,19
105,-92,-84.0,-68.6,-15.400000000000006,-2.0,0,0.0,1,22,19
106,-110,-86.9,-68.96666666666667,-17.933333333333337,-2.5333333333333314,0,0.0,1,1,19
107,-117,-90.2,-69.23333333333333,-20.96666666666667,-3.0333333333333314,0,0.0,1,11,18
108,-106,-92.1,-68.73333333333333,-23.36666666666666,-2.3999999999999915,0,0.0,1,30,19
109,-86,-93.0,-67.7,-25.299999999999997,-1.9333333333333371,0,0.0,1,39,19
110,-62,-91.5,-69.0,-22.5,2.799999999999997,0,0.0,1,43,19
111,-76,-92.0,-70.8,-21.200000000000003,1.2999999999999972,0,0.0,1,5,19
112,-49,-88.9,-71.6,-17.30000000000001,3.8999999999999915,0,0.0,1,46,19
113,-58,-85.1,-72.76666666666667,-12.333333333333329,4.966666666666683,0,0.0,1,10,19
114,-76,-83.2,-74.2,-9.0,3.3333333333333286,0,0.0,1,1,19
115,-94,-83.4,-76.33333333333333,-7.066666666666677,1.933333333333323,0,0.0,1,1,19
116,-100,-82.4,-78.5,-3.9000000000000057,3.1666666666666714,0,0.0,1,13,19
117,-93,-80.0,-79.96666666666667,-0.03333333333333144,3.8666666666666742,0,0.0,1,26,19
118,-73,-76.7,-80.63333333333334,3.933333333333337,3.9666666666666686,1,1.0,0,39,19
119,-87,-76.8,-81.36666666666666,4.566666666666663,0.6333333333333258,1,0.0,0,5,19
120,-101,-80.7,-81.96666666666667,1.2666666666666657,-3.299999999999997,1,0.0,0,5,19
121,-117,-84.8,-84.1,-0.7000000000000028,-1.9666666666666686,0,-1.0,1,2,18
122,-130,-92.9,-86.33333333333333,-6.566666666666677,-5.866666666666674,0,0.0,1,5,18
123,-118,-98.9,-88.16666666666667,-10.733333333333334,-4.166666666666657,0,0.0,1,30,18
124,-129,-104.2,-89.86666666666666,-14.333333333333343,-3.6000000000000085,0,0.0,1,7,18
125,-140,-108.8,-92.06666666666666,-16.733333333333334,-2.3999999999999915,0,0.0,1,7,18
126,-155,-114.3,-94.53333333333333,-19.766666666666666,-3.0333333333333314,0,0.0,1,3,18
127,-154,-120.4,-96.86666666666666,-23.533333333333346,-3.76666666666668,0,0.0,1,19,18
128,-171,-130.2,-99.66666666666667,-30.533333333333317,-6.999999999999972,0,0.0,1,1,18
129,-181,-139.6,-103.13333333333334,-36.466666666666654,-5.933333333333337,0,0.0,1,8,18
130,-190,-148.5,-106.9,-41.599999999999994,-5.13333333333334,0,0.0,1,9,18
131,-204,-157.2,-111.33333333333333,-45.86666666666666,-4.266666666666666,0,0.0,1,4,18
132,-219,-166.1,-115.96666666666667,-50.133333333333326,-4.266666666666666,0,0.0,1,3,18
133,-219,-176.2,-120.06666666666666,-56.133333333333326,-6.0,0,0.0,1,18,18
134,-209,-184.2,-123.86666666666666,-60.33333333333333,-4.200000000000003,0,0.0,1,28,18
135,-226,-192.8,-128.33333333333334,-64.46666666666667,-4.13333333333334,0,0.0,1,1,18
136,-225,-199.8,-132.16666666666666,-67.63333333333335,-3.1666666666666856,0,0.0,1,19,18
137,-187,-203.1,-134.5,-68.6,-0.9666666666666401,0,0.0,1,56,18
138,-179,-203.9,-136.93333333333334,-66.96666666666667,1.6333333333333258,0,0.0,1,26,18
139,-179,-203.7,-140.03333333333333,-63.66666666666666,3.3000000000000114,0,0.0,1,18,18
140,-188,-203.5,-144.23333333333332,-59.26666666666668,4.399999999999977,0,0.0,1,9,18
141,-201,-203.2,-148.4,-54.79999999999998,4.466666666666697,0,0.0,1,5,18
142,-212,-202.5,-153.83333333333334,-48.66666666666666,6.133333333333326,0,0.0,1,7,18
143,-189,-199.5,-158.2,-41.30000000000001,7.366666666666646,0,0.0,1,41,18
144,-200,-198.6,-162.33333333333334,-36.26666666666665,5.03333333333336,0,0.0,1,7,18
145,-194,-195.4,-165.66666666666666,-29.73333333333335,6.533333333333303,0,0.0,1,24,18
146,-206,-193.5,-169.2,-24.30000000000001,5.433333333333337,0,0.0,1,6,18
147,-214,-196.2,-173.23333333333332,-22.96666666666667,1.3333333333333428,0,0.0,1,10,18
148,-219,-200.2,-178.1,-22.099999999999994,0.8666666666666742,0,0.0,1,13,18
149,-232,-205.5,-182.93333333333334,-22.566666666666663,-0.46666666666666856,0,0.0,1,5,18
150,-231,-209.8,-187.26666666666668,-22.53333333333333,0.03333333333333144,0,0.0,1,19,18
151,-185,-208.2,-189.53333333333333,-18.666666666666657,3.8666666666666742,0,0.0,1,64,18
152,-178,-204.8,-191.13333333333333,-13.666666666666686,4.999999999999972,0,0.0,1,25,18
153,-195,-205.4,-193.7,-11.700000000000017,1.9666666666666686,0,0.0,1,1,18
154,-188,-204.2,-195.66666666666666,-8.533333333333331,3.1666666666666856,0,0.0,1,25,18
155,-133,-198.1,-195.43333333333334,-2.666666666666657,5.866666666666674,0,0.0,1,73,18
156,-148,-192.3,-195.2,2.8999999999999773,5.5666666666666345,1,1.0,0,3,18
157,-158,-186.7,-195.33333333333334,8.633333333333354,5.733333333333377,1,0.0,0,8,18
158,-130,-177.8,-193.96666666666667,16.166666666666657,7.533333333333303,1,0.0,0,46,18
159,-141,-168.7,-192.63333333333333,23.933333333333337,7.76666666666668,1,0.0,0,7,18
160,-155,-161.1,-191.46666666666667,30.366666666666674,6.433333333333337,1,0.0,0,4,18
161,-161,-158.7,-190.03333333333333,31.333333333333343,0.9666666666666686,1,0.0,0,12,18
162,-164,-157.3,-188.2,30.899999999999977,-0.43333333333336554,1,0.0,0,15,18
163,-180,-155.8,-186.9,31.099999999999994,0.20000000000001705,1,0.0,0,2,18
164,-179,-154.9,-185.9,31.0,-0.09999999999999432,1,0.0,0,19,18
165,-188,-160.4,-184.63333333333333,24.23333333333332,-6.76666666666668,1,0.0,0,9,18
166,-177,-163.3,-183.03333333333333,19.73333333333332,-4.5,1,0.0,0,29,18
167,-189,-166.4,-183.1,16.69999999999999,-3.0333333333333314,1,0.0,0,6,18
168,-189,-172.3,-183.43333333333334,11.133333333333326,-5.566666666666663,1,0.0,0,18,18
169,-198,-178.0,-184.06666666666666,6.066666666666663,-5.066666666666663,1,0.0,0,9,18
170,-198,-182.3,-184.4,2.0999999999999943,-3.9666666666666686,1,0.0,0,18,18
171,-207,-186.9,-184.6,-2.3000000000000114,-4.400000000000006,0,-1.0,1,9,18
172,-216,-192.1,-184.73333333333332,-7.366666666666674,-5.066666666666663,0,0.0,1,9,18
173,-228,-196.9,-186.03333333333333,-10.866666666666674,-3.5,0,0.0,1,6,18
174,-195,-198.5,-185.86666666666667,-12.633333333333326,-1.7666666666666515,0,0.0,1,51,18
175,-202,-199.9,-186.13333333333333,-13.76666666666668,-1.1333333333333542,0,0.0,1,11,18
176,-217,-203.9,-186.5,-17.400000000000006,-3.6333333333333258,0,0.0,1,3,18
177,-222,-207.2,-186.76666666666668,-20.43333333333331,-3.033333333333303,0,0.0,1,13,18
178,-228,-211.1,-187.06666666666666,-24.03333333333333,-3.6000000000000227,0,0.0,1,12,18
179,-239,-215.2,-187.3,-27.899999999999977,-3.866666666666646,0,0.0,1,6,17
180,-227,-218.1,-187.16666666666666,-30.933333333333337,-3.03333333333336,0,0.0,1,30,18
181,-216,-219.0,-188.2,-30.80000000000001,0.13333333333332575,0,0.0,1,29,18
182,-224,-219.8,-189.73333333333332,-30.06666666666669,0.7333333333333201,0,0.0,1,10,18
183,-235,-220.5,-191.06666666666666,-29.433333333333337,0.6333333333333542,0,0.0,1,6,17
184,-245,-225.5,-192.96666666666667,-32.53333333333333,-3.0999999999999943,0,0.0,1,7,17
185,-237,-229.0,-196.43333333333334,-32.56666666666666,-0.03333333333333144,0,0.0,1,25,17
186,-242,-231.5,-199.56666666666666,-31.933333333333337,0.6333333333333258,0,0.0,1,12,17
187,-233,-232.6,-202.06666666666666,-30.53333333333333,1.4000000000000057,0,0.0,1,26,17
188,-183,-228.1,-203.83333333333334,-24.26666666666665,6.26666666666668,0,0.0,1,68,18
189,-176,-221.8,-205.0,-16.80000000000001,7.46666666666664,0,0.0,1,25,18
190,-185,-217.6,-206.0,-11.599999999999994,5.200000000000017,0,0.0,1,9,18
191,-202,-216.2,-207.36666666666667,-8.833333333333314,2.76666666666668,0,0.0,1,1,18
192,-209,-214.7,-208.86666666666667,-5.833333333333314,3.0,0,0.0,1,11,18
193,-225,-213.7,-210.36666666666667,-3.3333333333333144,2.5,0,0.0,1,2,18
194,-232,-212.4,-212.13333333333333,-0.26666666666667993,3.0666666666666345,0,0.0,1,10,17
195,-206,-209.3,-212.73333333333332,3.4333333333333087,3.6999999999999886,1,1.0,0,44,18
196,-217,-206.8,-214.06666666666666,7.2666666666666515,3.833333333333343,1,0.0,0,7,18
197,-222,-205.7,-215.16666666666666,9.466666666666669,2.200000000000017,1,0.0,0,13,18
198,-189,-206.3,-215.16666666666666,8.866666666666646,-0.6000000000000227,1,0.0,0,51,18
199,-141,-202.8,-213.26666666666668,10.466666666666669,1.6000000000000227,1,0.0,0,66,18
200,-75,-191.8,-209.16666666666666,17.366666666666646,6.899999999999977,1,0.0,0,84,18
201,-34,-175.0,-203.4,28.400000000000006,11.03333333333336,1,0.0,0,59,18
202,-46,-158.7,-197.73333333333332,39.03333333333333,10.633333333333326,1,0.0,0,6,18
203,-55,-141.7,-191.96666666666667,50.26666666666668,11.233333333333348,1,0.0,0,9,18
204,-72,-125.7,-187.86666666666667,62.16666666666667,11.899999999999991,1,0.0,0,1,18
205,-82,-113.3,-183.86666666666667,70.56666666666668,8.400000000000006,1,0.0,0,8,18
206,-85,-100.1,-179.46666666666667,79.36666666666667,8.799999999999997,1,0.0,0,15,18
207,-87,-86.6,-174.96666666666667,88.36666666666667,9.0,1,0.0,0,16,18
208,-90,-76.7,-170.36666666666667,93.66666666666667,5.299999999999997,1,0.0,0,15,18
209,-64,-69.0,-164.53333333333333,95.53333333333333,1.86666666666666,1,0.0,0,44,18
210,-69,-68.4,-159.26666666666668,90.86666666666667,-4.666666666666657,1,0.0,0,13,18
211,-69,-71.9,-154.36666666666667,82.46666666666667,-8.400000000000006,1,0.0,0,18,18
212,-78,-75.1,-149.5,74.4,-8.066666666666663,1,0.0,0,9,18
213,-79,-77.5,-144.3,66.80000000000001,-7.599999999999994,1,0.0,0,17,18
214,-80,-78.3,-138.8,60.500000000000014,-6.299999999999997,1,0.0,0,17,18
