Data,Ruota,1,2,3,4,5
24/01/1942,MI,8,67,75,34,66
31/01/1942,MI,64,82,28,42,15
07/02/1942,MI,15,42,43,37,55
14/02/1942,MI,38,2,75,73,21
21/02/1942,MI,23,22,56,60,50
28/02/1942,MI,64,16,73,6,74
07/03/1942,MI,90,79,51,23,27
14/03/1942,MI,42,29,74,9,3
21/03/1942,MI,45,75,55,76,50
28/03/1942,MI,32,39,56,78,6
04/04/1942,MI,20,78,41,18,54
11/04/1942,MI,87,51,15,81,58
18/04/1942,MI,82,8,2,55,44
25/04/1942,MI,61,81,89,31,43
02/05/1942,MI,33,58,4,7,36
09/05/1942,MI,1,8,23,78,76
16/05/1942,MI,81,90,18,39,23
23/05/1942,MI,10,9,1,60,68
30/05/1942,MI,47,22,46,64,42
06/06/1942,MI,51,12,88,72,75
13/06/1942,MI,48,24,28,39,49
20/06/1942,MI,15,83,69,59,74
27/06/1942,MI,29,54,30,53,51
04/07/1942,MI,16,2,12,25,60
11/07/1942,MI,16,2,72,55,29
18/07/1942,MI,73,7,35,87,25
25/07/1942,MI,22,11,71,59,1
01/08/1942,MI,46,64,74,32,67
08/08/1942,MI,35,43,1,38,5
15/08/1942,MI,35,61,4,79,73
22/08/1942,MI,33,6,9,35,10
29/08/1942,MI,2,32,47,3,82
05/09/1942,MI,40,41,68,52,47
12/09/1942,MI,40,84,3,83,59
19/09/1942,MI,78,7,43,84,90
26/09/1942,MI,12,82,26,48,87
03/10/1942,MI,29,11,26,23,41
10/10/1942,MI,85,22,39,2,19
17/10/1942,MI,52,29,76,42,67
24/10/1942,MI,62,15,22,55,31
31/10/1942,MI,1,15,39,81,51
07/11/1942,MI,79,80,30,10,8
14/11/1942,MI,89,6,47,31,19
21/11/1942,MI,86,5,43,31,32
28/11/1942,MI,58,90,84,49,31
05/12/1942,MI,20,9,51,43,80
12/12/1942,MI,5,43,13,17,33
19/12/1942,MI,9,37,1,82,60
26/12/1942,MI,79,20,64,44,40
02/01/1943,MI,6,73,37,69,70
09/01/1943,MI,43,39,11,8,59
16/01/1943,MI,22,44,63,50,72
23/01/1943,MI,66,65,18,68,64
30/01/1943,MI,23,79,24,45,8
06/02/1943,MI,9,25,66,52,37
13/02/1943,MI,52,88,25,54,1
20/02/1943,MI,53,71,48,68,69
27/02/1943,MI,34,79,88,42,14
06/03/1943,MI,30,54,38,50,44
13/03/1943,MI,24,39,85,20,32
20/03/1943,MI,21,28,67,39,34
27/03/1943,MI,28,36,11,82,26
03/04/1943,MI,89,19,50,75,90
10/04/1943,MI,75,30,83,84,57
17/04/1943,MI,38,27,26,17,7
24/04/1943,MI,62,76,3,37,2
01/05/1943,MI,86,65,52,14,45
08/05/1943,MI,59,52,30,21,62
15/05/1943,MI,26,68,32,24,79
22/05/1943,MI,67,26,50,21,12
29/05/1943,MI,88,1,21,49,60
05/06/1943,MI,5,17,51,79,65
12/06/1943,MI,20,30,71,44,31
19/06/1943,MI,5,6,10,35,23
26/06/1943,MI,18,63,51,42,85
03/07/1943,MI,26,30,8,18,70
10/07/1943,MI,78,60,5,59,49
17/07/1943,MI,3,90,25,55,24
24/07/1943,MI,3,17,25,42,20
31/07/1943,MI,33,14,55,20,74
07/08/1943,MI,23,65,44,63,46
14/08/1943,MI,67,88,12,66,80
21/08/1943,MI,41,37,86,90,14
28/08/1943,MI,53,59,87,55,51
04/09/1943,MI,38,48,28,19,80
11/09/1943,MI,64,7,11,1,74
18/09/1943,MI,31,53,36,17,1
02/10/1943,MI,41,36,49,87,29
09/10/1943,MI,16,15,20,4,14
16/10/1943,MI,20,44,70,78,17
23/10/1943,MI,84,65,78,60,33
30/10/1943,MI,26,87,16,74,28
06/11/1943,MI,42,14,34,27,16
13/11/1943,MI,69,50,51,53,84
20/11/1943,MI,14,42,71,35,41
27/11/1943,MI,56,33,90,42,71
04/12/1943,MI,71,4,86,62,1
11/12/1943,MI,38,42,43,77,6
18/12/1943,MI,75,13,39,86,42
25/12/1943,MI,36,33,89,63,64
01/01/1944,MI,55,12,37,54,29
08/01/1944,MI,57,47,65,75,2
15/01/1944,MI,21,86,85,59,26
22/01/1944,MI,21,75,42,28,70
29/01/1944,MI,21,31,5,51,82
05/02/1944,MI,65,9,59,83,85
12/02/1944,MI,87,10,77,44,55
19/02/1944,MI,53,27,29,82,72
26/02/1944,MI,65,28,27,81,53
04/03/1944,MI,27,59,49,81,3
11/03/1944,MI,57,88,54,35,31
18/03/1944,MI,59,46,22,77,60
25/03/1944,MI,16,24,22,2,59
01/04/1944,MI,59,89,25,76,61
08/04/1944,MI,3,4,19,76,15
15/04/1944,MI,62,78,46,1,17
22/04/1944,MI,2,73,66,10,8
29/04/1944,MI,53,36,79,67,28
06/05/1944,MI,69,17,39,84,15
13/05/1944,MI,79,11,64,24,21
20/05/1944,MI,84,52,81,65,45
27/05/1944,MI,36,1,81,47,16
03/06/1944,MI,35,38,11,81,49
10/06/1944,MI,85,11,82,74,21
17/06/1944,MI,46,26,9,86,5
24/06/1944,MI,49,31,13,69,79
01/07/1944,MI,79,49,4,55,7
08/07/1944,MI,10,74,86,57,28
15/07/1944,MI,6,58,76,37,16
22/07/1944,MI,7,88,65,11,33
29/07/1944,MI,75,33,22,5,7
05/08/1944,MI,27,37,46,61,80
12/08/1944,MI,11,18,10,3,20
19/08/1944,MI,60,49,36,41,15
26/08/1944,MI,54,44,42,9,38
02/09/1944,MI,90,85,44,83,28
09/09/1944,MI,34,18,77,15,19
16/09/1944,MI,87,11,26,90,23
23/09/1944,MI,89,57,85,3,33
30/09/1944,MI,71,77,72,40,26
07/10/1944,MI,19,86,69,30,38
14/10/1944,MI,45,15,10,40,22
21/10/1944,MI,83,20,33,22,10
28/10/1944,MI,61,53,35,60,37
04/11/1944,MI,13,28,67,16,43
11/11/1944,MI,86,76,85,13,67
18/11/1944,MI,64,56,14,34,67
25/11/1944,MI,34,83,44,58,39
02/12/1944,MI,54,61,85,31,90
09/12/1944,MI,3,44,87,46,48
16/12/1944,MI,3,13,79,74,78
23/12/1944,MI,1,84,30,9,45
30/12/1944,MI,28,30,82,63,18
05/01/1945,MI,4,11,20,21,18
13/01/1945,MI,57,69,31,40,2
20/01/1945,MI,57,23,37,71,67
27/01/1945,MI,73,15,37,14,64
03/02/1945,MI,4,25,17,23,16
10/02/1945,MI,29,16,81,20,37
17/02/1945,MI,89,49,87,34,1
24/02/1945,MI,37,26,86,69,11
03/03/1945,MI,50,72,42,4,25
10/03/1945,MI,35,28,2,9,12
17/03/1945,MI,88,16,77,17,46
24/03/1945,MI,75,77,87,71,40
31/03/1945,MI,6,8,25,52,74
07/04/1945,MI,49,33,74,25,85
14/04/1945,MI,65,33,23,82,77
21/04/1945,MI,5,56,7,27,78
28/04/1945,MI,37,58,6,60,33
05/05/1945,MI,47,82,54,74,65
12/05/1945,MI,63,36,83,10,41
19/05/1945,MI,51,7,75,8,78
26/05/1945,MI,9,80,57,42,61
02/06/1945,MI,30,62,53,11,29
09/06/1945,MI,59,32,45,74,22
16/06/1945,MI,84,55,83,24,67
23/06/1945,MI,86,7,32,64,84
30/06/1945,MI,13,9,15,43,65
07/07/1945,MI,43,9,64,17,85
14/07/1945,MI,60,9,76,24,38
21/07/1945,MI,53,57,30,43,14
28/07/1945,MI,49,77,3,30,82
04/08/1945,MI,37,52,33,58,72
11/08/1945,MI,75,14,40,54,28
18/08/1945,MI,8,89,85,58,50
25/08/1945,MI,66,12,83,73,44
01/09/1945,MI,81,27,60,54,3
08/09/1945,MI,19,74,45,89,69
15/09/1945,MI,11,25,79,8,60
22/09/1945,MI,54,73,3,20,80
29/09/1945,MI,17,72,73,66,58
06/10/1945,MI,80,48,7,53,15
13/10/1945,MI,9,28,15,12,10
20/10/1945,MI,78,64,56,68,51
27/10/1945,MI,83,6,16,21,60
03/11/1945,MI,46,32,10,20,1
10/11/1945,MI,69,23,71,27,41
17/11/1945,MI,57,49,13,15,53
24/11/1945,MI,4,7,56,10,85
01/12/1945,MI,85,39,2,67,80
07/12/1945,MI,1,56,65,77,75
15/12/1945,MI,4,25,85,3,44
22/12/1945,MI,5,60,55,28,82
29/12/1945,MI,69,88,52,83,43
05/01/1946,MI,40,51,58,48,61
12/01/1946,MI,60,16,9,23,86
19/01/1946,MI,42,2,75,13,30
26/01/1946,MI,54,68,84,90,32
02/02/1946,MI,61,77,7,43,27
09/02/1946,MI,41,11,43,81,37
16/02/1946,MI,17,30,82,50,84
23/02/1946,MI,56,54,80,23,7
02/03/1946,MI,64,59,52,26,29
09/03/1946,MI,80,74,7,72,77
16/03/1946,MI,6,26,88,58,67
23/03/1946,MI,89,19,52,46,69
30/03/1946,MI,15,34,37,65,83
06/04/1946,MI,89,82,13,26,41
13/04/1946,MI,31,22,10,66,29
20/04/1946,MI,40,84,19,59,78
27/04/1946,MI,53,88,22,1,36
04/05/1946,MI,56,36,45,53,31
11/05/1946,MI,42,86,47,61,87
18/05/1946,MI,33,69,58,64,40
25/05/1946,MI,40,63,46,39,68
01/06/1946,MI,17,47,12,15,25
08/06/1946,MI,48,71,27,88,32
15/06/1946,MI,38,36,72,2,66
22/06/1946,MI,38,67,69,49,22
29/06/1946,MI,79,21,20,1,40
06/07/1946,MI,4,47,75,70,6
13/07/1946,MI,16,52,31,74,23
20/07/1946,MI,33,58,90,85,69
27/07/1946,MI,32,52,88,14,73
03/08/1946,MI,1,39,29,47,43
10/08/1946,MI,19,14,63,28,51
17/08/1946,MI,26,43,24,69,47
24/08/1946,MI,68,15,8,80,46
31/08/1946,MI,36,55,71,78,14
07/09/1946,MI,16,31,29,38,10
14/09/1946,MI,79,82,84,23,90
21/09/1946,MI,87,13,20,8,59
28/09/1946,MI,38,65,10,83,41
05/10/1946,MI,14,43,13,59,87
12/10/1946,MI,33,28,6,15,51
19/10/1946,MI,76,26,15,4,38
26/10/1946,MI,8,9,72,25,45
02/11/1946,MI,9,89,14,12,72
09/11/1946,MI,79,66,24,5,61
16/11/1946,MI,5,57,31,63,90
30/11/1946,MI,66,48,90,73,34
07/12/1946,MI,36,66,33,15,65
14/12/1946,MI,6,60,20,43,77
21/12/1946,MI,81,33,71,11,25
28/12/1946,MI,23,24,50,65,89
04/01/1947,MI,16,84,3,49,73
11/01/1947,MI,78,10,73,32,66
18/01/1947,MI,59,7,63,45,84
25/01/1947,MI,15,51,10,19,59
01/02/1947,MI,88,52,39,4,69
08/02/1947,MI,22,26,68,19,74
15/02/1947,MI,6,3,47,32,16
22/02/1947,MI,74,25,76,40,86
01/03/1947,MI,2,34,29,19,4
08/03/1947,MI,68,76,1,11,41
15/03/1947,MI,30,23,73,21,72
22/03/1947,MI,75,58,82,83,8
29/03/1947,MI,56,40,58,52,21
05/04/1947,MI,27,62,16,71,11
12/04/1947,MI,72,28,44,51,80
19/04/1947,MI,34,53,40,86,78
26/04/1947,MI,47,20,10,32,79
03/05/1947,MI,4,39,56,44,81
10/05/1947,MI,29,84,19,85,51
17/05/1947,MI,36,21,79,78,19
24/05/1947,MI,33,22,17,48,60
31/05/1947,MI,29,76,81,68,42
07/06/1947,MI,73,43,12,87,16
14/06/1947,MI,83,3,20,53,33
21/06/1947,MI,62,36,16,64,7
28/06/1947,MI,36,81,22,68,14
05/07/1947,MI,54,28,50,70,16
12/07/1947,MI,16,67,8,34,40
19/07/1947,MI,46,33,19,65,14
26/07/1947,MI,43,13,51,85,18
02/08/1947,MI,61,17,81,84,30
09/08/1947,MI,24,71,87,60,5
16/08/1947,MI,23,30,49,90,77
23/08/1947,MI,47,50,4,13,20
30/08/1947,MI,66,53,8,4,82
06/09/1947,MI,29,22,60,76,54
13/09/1947,MI,14,32,62,26,47
20/09/1947,MI,53,49,46,10,52
27/09/1947,MI,9,26,82,87,29
04/10/1947,MI,45,23,76,70,55
11/10/1947,MI,49,17,46,5,31
18/10/1947,MI,24,2,30,13,43
25/10/1947,MI,80,53,26,35,81
01/11/1947,MI,10,51,43,3,13
08/11/1947,MI,41,44,90,2,52
15/11/1947,MI,79,32,1,64,52
22/11/1947,MI,53,60,41,69,28
29/11/1947,MI,67,76,2,46,14
06/12/1947,MI,55,31,61,86,79
13/12/1947,MI,7,61,55,65,10
20/12/1947,MI,15,28,40,3,42
27/12/1947,MI,62,46,15,76,42
03/01/1948,MI,9,38,2,37,15
10/01/1948,MI,5,60,21,13,2
17/01/1948,MI,86,49,39,47,83
24/01/1948,MI,32,42,51,72,36
31/01/1948,MI,51,29,71,59,60
07/02/1948,MI,15,3,8,26,43
14/02/1948,MI,16,59,84,63,7
21/02/1948,MI,3,14,20,88,52
28/02/1948,MI,30,36,27,69,24
06/03/1948,MI,29,62,43,83,63
13/03/1948,MI,62,70,65,19,47
20/03/1948,MI,26,32,73,31,82
27/03/1948,MI,17,21,59,19,44
03/04/1948,MI,12,38,27,17,89
10/04/1948,MI,64,31,56,14,70
17/04/1948,MI,44,37,36,65,59
24/04/1948,MI,17,56,14,40,51
30/04/1948,MI,56,77,33,61,28
08/05/1948,MI,38,28,70,9,22
15/05/1948,MI,16,85,84,19,77
22/05/1948,MI,35,56,43,46,9
29/05/1948,MI,13,14,34,81,79
05/06/1948,MI,28,35,49,85,34
12/06/1948,MI,34,16,8,84,83
19/06/1948,MI,25,35,10,83,69
26/06/1948,MI,43,32,58,87,54
03/07/1948,MI,74,30,66,60,35
10/07/1948,MI,43,32,13,83,67
17/07/1948,MI,56,69,80,12,4
24/07/1948,MI,88,25,21,41,5
31/07/1948,MI,3,14,48,15,23
07/08/1948,MI,71,82,31,77,26
14/08/1948,MI,85,40,22,56,60
21/08/1948,MI,48,71,81,56,18
28/08/1948,MI,89,67,63,82,65
04/09/1948,MI,74,47,45,43,3
11/09/1948,MI,13,62,15,22,90
18/09/1948,MI,23,54,65,4,5
25/09/1948,MI,71,59,88,27,14
02/10/1948,MI,32,89,81,14,42
09/10/1948,MI,77,14,54,47,26
16/10/1948,MI,3,54,45,86,18
23/10/1948,MI,38,71,26,40,60
30/10/1948,MI,7,64,46,55,44
06/11/1948,MI,24,76,2,59,55
13/11/1948,MI,43,85,20,70,35
20/11/1948,MI,12,63,72,68,14
27/11/1948,MI,45,34,23,17,20
04/12/1948,MI,39,33,61,83,12
11/12/1948,MI,67,69,22,15,25
18/12/1948,MI,81,82,59,60,10
