2013/05/11,BA,89,22,21,57,63
2013/05/14,BA,81,19,79,67,18
2013/05/16,BA,19,63,80,23,61
2013/05/18,BA,31,61,51,57,73
2013/05/21,BA,43,42,61,77,90
2013/05/23,BA,23,81,53,3,89
2013/05/25,BA,52,41,44,24,48
2013/05/28,BA,16,32,41,33,29
2013/05/30,BA,17,23,59,87,3
2013/06/01,BA,90,33,31,66,79
2013/06/04,BA,59,81,29,8,62
2013/06/06,BA,55,47,83,18,24
2013/06/08,BA,27,87,76,37,69
2013/06/11,BA,7,60,90,55,34
2013/06/13,BA,59,79,49,75,5
2013/06/15,BA,6,58,7,74,51
2013/06/18,BA,1,47,7,9,20
2013/06/20,BA,54,36,1,77,28
2013/06/22,BA,41,82,51,56,72
2013/06/25,BA,18,89,79,53,55
2013/06/27,BA,38,81,12,3,78
2013/06/29,BA,45,14,67,12,41
2013/07/02,BA,66,7,81,49,50
2013/07/04,BA,81,5,71,43,61
2013/07/06,BA,87,49,3,46,81
2013/07/09,BA,68,21,23,59,24
2013/07/11,BA,19,24,7,66,88
2013/07/13,BA,68,49,5,26,46
2013/07/16,BA,81,27,51,20,70
2013/07/18,BA,57,68,85,53,63
2013/07/20,BA,54,53,83,79,47
2013/07/23,BA,41,8,33,54,35
2013/07/25,BA,71,21,63,17,42
2013/07/27,BA,9,88,46,36,58
2013/07/30,BA,29,7,69,17,50
2013/08/01,BA,41,31,21,77,72
2013/08/03,BA,11,1,40,43,76
2013/08/06,BA,52,57,69,76,53
2013/08/08,BA,23,57,64,74,4
2013/08/10,BA,52,86,10,90,6
2013/08/13,BA,81,86,56,6,39
2013/08/16,BA,6,82,60,73,70
2013/08/17,BA,47,56,7,74,58
2013/08/20,BA,9,5,62,1,69
2013/08/22,BA,65,41,35,75,13
2013/08/24,BA,52,71,21,89,23
2013/08/27,BA,41,17,11,62,8
2013/08/29,BA,59,72,87,48,24
2013/08/31,BA,64,84,12,63,15
2013/09/03,BA,58,6,68,80,31
2013/09/05,BA,9,5,65,44,10
2013/09/07,BA,33,26,57,24,80
2013/09/10,BA,4,69,29,60,45
2013/09/12,BA,16,80,2,34,60
2013/09/14,BA,52,2,42,15,49
2013/09/17,BA,11,61,75,16,38
2013/09/19,BA,40,24,61,65,27
2013/09/21,BA,54,62,47,79,74
2013/09/24,BA,9,89,64,1,52
2013/09/26,BA,46,61,83,25,20
2013/09/28,BA,86,19,14,80,89
2013/10/01,BA,31,42,66,16,7
2013/10/03,BA,56,84,58,65,1
2013/10/05,BA,58,9,34,66,5
2013/10/08,BA,47,53,44,19,55
2013/10/10,BA,24,85,84,87,75
2013/10/12,BA,87,53,78,24,13
2013/10/15,BA,49,69,79,58,23
2013/10/17,BA,42,68,11,65,32
2013/10/19,BA,52,45,89,60,73
2013/10/22,BA,68,33,41,52,45
2013/10/24,BA,9,88,30,77,90
2013/10/26,BA,8,66,82,74,15
2013/10/29,BA,23,14,29,49,70
2013/10/31,BA,9,89,73,72,80
2013/11/02,BA,2,61,31,60,39
2013/11/05,BA,83,40,45,36,33
2013/11/07,BA,47,81,34,51,20
2013/11/09,BA,13,53,5,22,26
2013/11/12,BA,6,21,41,31,63
2013/11/14,BA,1,64,25,82,60
2013/11/16,BA,73,31,14,89,34
2013/11/19,BA,47,71,36,49,25
2013/11/21,BA,6,78,8,66,60
2013/11/23,BA,16,79,19,55,27
2013/11/26,BA,45,82,48,19,60
2013/11/28,BA,69,89,47,61,59
2013/11/30,BA,45,49,64,33,67
2013/12/03,BA,57,45,29,12,59
2013/12/05,BA,13,20,62,33,67
2013/12/07,BA,29,11,20,80,81
2013/12/10,BA,75,14,49,44,80
2013/12/12,BA,48,43,53,51,49
2013/12/14,BA,38,84,19,39,59
2013/12/17,BA,15,16,71,17,20
2013/12/19,BA,16,53,30,22,6
2013/12/21,BA,33,36,48,88,74
2013/12/24,BA,57,78,6,13,12
2013/12/27,BA,16,53,61,87,4
2013/12/28,BA,55,76,53,40,77
2013/12/31,BA,43,24,47,50,78
2014/01/02,BA,16,15,40,34,24
2014/01/04,BA,72,74,24,19,52
2014/01/07,BA,39,77,19,37,76
2014/01/09,BA,81,72,13,76,67
2014/01/11,BA,55,90,77,73,20
2014/01/14,BA,67,28,12,25,69
2014/01/16,BA,6,15,85,65,24
