Ambi,uscite,Spia10,rip10,tra10,Spia20,rip20,tra20
"[2, 52]",17,4,17,4,4,29,14
"[2, 53]",15,4,20,4,26,31,5
"[2, 54]",20,34,21,-10,34,38,0
"[2, 55]",15,66,16,-3,30,30,2
"[2, 56]",21,88,22,-16,48,42,6
"[2, 57]",20,30,22,-8,30,37,2
"[2, 58]",13,10,15,-1,4,23,14
"[2, 59]",15,58,16,9,52,27,-2
"[2, 60]",23,84,23,6,48,40,6
"[2, 61]",15,68,16,-31,44,28,-14
"[2, 62]",15,90,16,-7,74,27,17
"[2, 63]",10,69,14,9,49,23,-1
"[2, 64]",22,58,22,9,89,37,14
"[2, 65]",17,4,18,4,4,31,14
"[2, 66]",17,74,18,7,64,32,-11
"[2, 67]",19,84,19,6,88,32,-6
"[2, 68]",13,48,15,-4,66,26,7
"[2, 69]",18,83,17,6,8,34,11
"[2, 70]",16,49,17,-11,66,30,7
"[2, 71]",18,48,17,-4,74,28,17
"[2, 72]",18,37,18,-2,66,41,7
"[2, 73]",18,62,18,-23,20,34,14
"[2, 74]",16,59,18,-4,84,27,16
"[2, 75]",18,64,18,-21,64,30,-11
"[2, 76]",20,11,20,3,60,39,6
"[2, 77]",13,30,12,-8,54,23,4
"[2, 78]",20,84,20,6,70,33,10
"[2, 79]",17,66,15,-3,65,29,-16
"[2, 80]",11,89,17,4,89,24,14
"[2, 81]",17,34,17,-10,48,36,6
"[2, 82]",12,28,15,-10,51,24,1
"[2, 83]",17,67,16,-11,17,29,-7
"[2, 84]",9,56,12,-11,41,19,-9
"[2, 85]",20,40,22,1,40,33,11
"[2, 86]",19,77,17,-7,20,31,14
"[2, 87]",16,48,15,-4,22,30,12
"[2, 88]",21,6,19,-16,84,34,16
"[2, 89]",18,59,20,-4,59,37,6
"[2, 90]",22,84,20,6,37,37,8
"[3, 4]",14,46,15,2,87,30,-31
"[3, 5]",12,70,14,0,74,24,17
"[3, 6]",18,54,17,-6,61,34,13
"[3, 7]",10,43,14,3,63,21,-3
"[3, 8]",29,20,27,4,34,44,0
"[3, 9]",19,34,17,-10,2,34,-31
"[3, 10]",17,75,17,9,48,30,6
"[3, 11]",19,15,17,-6,9,34,-10
"[3, 12]",17,47,19,8,81,30,15
"[3, 13]",20,30,17,-8,40,33,11
"[3, 14]",23,16,21,9,34,37,0
"[3, 15]",18,23,21,0,23,31,10
"[3, 16]",11,15,12,-6,63,20,-3
"[3, 17]",22,23,21,0,67,35,-1
"[3, 18]",17,13,16,8,22,29,12
"[3, 19]",14,23,15,0,78,26,5
"[3, 20]",22,44,20,-24,20,39,14
"[3, 21]",18,42,16,-32,44,34,-14
"[3, 22]",20,71,23,6,71,37,16
"[3, 23]",22,55,21,7,55,40,17
"[3, 24]",15,59,17,-4,76,26,-1
"[3, 25]",20,75,23,9,75,37,19
"[3, 26]",24,66,24,-3,66,42,7
"[3, 27]",18,22,16,2,3,36,15
"[3, 28]",16,88,17,-16,49,30,-1
"[3, 29]",16,18,15,0,18,28,10
"[3, 30]",22,59,22,-4,34,41,0
"[3, 31]",16,14,15,-1,35,29,6
"[3, 32]",15,87,18,-41,58,27,19
"[3, 33]",16,14,17,-1,57,30,7
"[3, 34]",20,60,20,-4,90,32,3
"[3, 35]",17,73,16,-13,7,29,17
"[3, 36]",19,23,20,0,53,33,0
"[3, 37]",21,74,19,7,35,41,6
"[3, 38]",14,87,13,-41,67,26,-1
"[3, 39]",21,48,22,-4,14,35,9
"[3, 40]",24,58,23,9,58,40,19
"[3, 41]",23,43,24,3,3,39,15
"[3, 42]",18,29,19,-2,78,31,5
"[3, 43]",15,77,18,-7,77,27,3
"[3, 44]",11,4,14,4,4,22,14
"[3, 45]",15,29,14,-2,4,25,14
"[3, 46]",22,20,19,4,20,38,14
"[3, 47]",26,22,25,2,22,42,12
"[3, 48]",15,61,14,3,20,26,14
"[3, 49]",20,51,20,-9,48,34,6
"[3, 50]",11,46,11,2,66,24,7
"[3, 51]",22,11,22,3,4,35,14
"[3, 52]",19,37,19,-2,82,31,15
"[3, 53]",20,58,19,9,9,35,-10
"[3, 54]",22,22,23,2,23,34,10
"[3, 55]",19,53,18,-10,87,31,-31
"[3, 56]",18,17,17,-17,74,32,17
"[3, 57]",16,31,15,8,48,26,6
"[3, 58]",22,56,18,-11,34,38,0
"[3, 59]",18,81,18,5,81,31,15
"[3, 60]",14,85,17,6,48,28,6
"[3, 61]",20,48,20,-4,61,37,13
"[3, 62]",25,29,24,-2,88,37,-6
"[3, 63]",13,81,13,5,81,24,15
"[3, 64]",19,90,16,-7,36,31,15
"[3, 65]",15,58,17,9,70,27,10
"[3, 66]",28,48,27,-4,61,47,13
"[3, 67]",15,50,13,-4,68,27,-21
"[3, 68]",17,88,19,-16,77,35,3
"[3, 69]",13,81,13,5,3,24,15
"[3, 70]",17,44,17,-24,13,31,18
"[3, 71]",15,20,20,4,20,28,14
"[3, 72]",17,67,17,-11,8,31,11
"[3, 73]",15,7,18,7,37,29,8
"[3, 74]",17,73,16,-13,3,32,15
"[3, 75]",17,48,20,-4,48,33,6
"[3, 76]",18,88,20,-16,88,33,-6
"[3, 77]",22,90,22,-7,87,38,-31
"[3, 78]",18,33,18,6,59,30,6
"[3, 79]",14,54,12,-6,38,23,12
"[3, 80]",18,90,20,-7,47,30,18
"[3, 81]",14,1,15,-39,81,27,15
